Number,Level/Layer,Parameter,Forecast Valid,Description
54,surface,VIS,90 min fcst,Visibility [m]
55,1000 m above ground,REFD,90 min fcst,Reflectivity [dB]
56,4000 m above ground,REFD,90 min fcst,Reflectivity [dB]
57,surface,GUST,90 min fcst,Wind Speed (Gust) [m/s]
58,5000-2000 m above ground,UPHL,90 min fcst,Updraft Helicity [m^2/s^2]
59,80 m above ground,UGRD,90 min fcst,U-Component of Wind [m/s]
60,80 m above ground,VGRD,90 min fcst,V-Component of Wind [m/s]
61,surface,PRES,90 min fcst,Pressure [Pa]
62,surface,HGT,90 min fcst,Geopotential Height [gpm]
63,2 m above ground,TMP,90 min fcst,Temperature [K]
64,2 m above ground,SPFH,90 min fcst,Specific Humidity [kg/kg]
65,2 m above ground,DPT,90 min fcst,Dew Point Temperature [K]
66,10 m above ground,UGRD,90 min fcst,U-Component of Wind [m/s]
67,10 m above ground,VGRD,90 min fcst,V-Component of Wind [m/s]
68,10 m above ground,WIND,85-90 min ave,Wind Speed [m/s]
69,10 m above ground,UGRD,85-90 min ave,U-Component of Wind [m/s]
70,10 m above ground,VGRD,85-90 min ave,V-Component of Wind [m/s]
71,surface,DSWRF,75-90 min ave,Downward Short-Wave Radiation Flux [W/m^2]
72,surface,VBDSF,75-90 min ave,Visible Beam Downward Solar Flux [W/m^2]
73,surface,CPOFP,90 min fcst,Percent frozen precipitation [%]
74,surface,PRATE,90 min fcst,Precipitation Rate [kg/m^2/s]
75,surface,APCP,75-90 min acc,Total Precipitation [kg/m^2]
76,surface,WEASD,75-90 min acc,Water Equivalent of Accumulated Snow Depth [kg/m^2]
77,surface,FROZR,75-90 min acc,Frozen Rain [kg/m^2]
78,surface,CSNOW,90 min fcst,Categorical Snow [-]
79,surface,CICEP,90 min fcst,Categorical Ice Pellets [-]
80,surface,CFRZR,90 min fcst,Categorical Freezing Rain [-]
81,surface,CRAIN,90 min fcst,Categorical Rain [-]
81,surface,CRAIN,90 min fcst,Categorical Rain [-]
81,surface,CRAIN,90 min fcst,Categorical Rain [-]
84,cloud ceiling,HGT,90 min fcst,Geopotential Height [gpm]
85,cloud base,HGT,90 min fcst,Geopotential Height [gpm]
86,cloud top,HGT,90 min fcst,Geopotential Height [gpm]
87,top of atmosphere,ULWRF,90 min fcst,Upward Long-Wave Rad. Flux [W/m^2]
88,surface,DSWRF,90 min fcst,Downward Short-Wave Radiation Flux [W/m^2]
89,surface,DLWRF,90 min fcst,Downward Long-Wave Rad. Flux [W/m^2]
90,surface,USWRF,90 min fcst,Upward Short-Wave Radiation Flux [W/m^2]
91,surface,ULWRF,90 min fcst,Upward Long-Wave Rad. Flux [W/m^2]
92,surface,VBDSF,90 min fcst,Visible Beam Downward Solar Flux [W/m^2]
93,surface,VDDSF,90 min fcst,Visible Diffuse Downward Solar Flux [W/m^2]
94,top of atmosphere,USWRF,90 min fcst,Upward Short-Wave Radiation Flux [W/m^2]
95,top of atmosphere,SBT123,90 min fcst,"Simulated Brightness Temperature for GOES 12, Channel 3 [K]"
96,top of atmosphere,SBT124,90 min fcst,"Simulated Brightness Temperature for GOES 12, Channel 4 [K]"
97,top of atmosphere,SBT113,90 min fcst,"Simulated Brightness Temperature for GOES 11, Channel 3 [K]"
98,top of atmosphere,SBT114,90 min fcst,"Simulated Brightness Temperature for GOES 11, Channel 4 [K]"
99,entire atmosphere,REFC,105 min fcst,Composite reflectivity [dB]
100,cloud top,RETOP,105 min fcst,Echo Top [m]
100,cloud top,RETOP,105 min fcst,Echo Top [m]
102,entire atmosphere,VIL,105 min fcst,Vertically-Integrated Liquid Water [kg/m^2]
103,surface,VIS,105 min fcst,Visibility [m]
104,1000 m above ground,REFD,105 min fcst,Reflectivity [dB]
105,4000 m above ground,REFD,105 min fcst,Reflectivity [dB]
106,surface,GUST,105 min fcst,Wind Speed (Gust) [m/s]
107,5000-2000 m above ground,UPHL,105 min fcst,Updraft Helicity [m^2/s^2]
108,80 m above ground,UGRD,105 min fcst,U-Component of Wind [m/s]
109,80 m above ground,VGRD,105 min fcst,V-Component of Wind [m/s]
110,surface,PRES,105 min fcst,Pressure [Pa]
111,surface,HGT,105 min fcst,Geopotential Height [gpm]
112,2 m above ground,TMP,105 min fcst,Temperature [K]
113,2 m above ground,SPFH,105 min fcst,Specific Humidity [kg/kg]
114,2 m above ground,DPT,105 min fcst,Dew Point Temperature [K]
115,10 m above ground,UGRD,105 min fcst,U-Component of Wind [m/s]
116,10 m above ground,VGRD,105 min fcst,V-Component of Wind [m/s]
117,10 m above ground,WIND,100-105 min a,Wind Speed [m/s]
118,10 m above ground,UGRD,100-105 min a,U-Component of Wind [m/s]
119,10 m above ground,VGRD,100-105 min a,V-Component of Wind [m/s]
120,surface,DSWRF,90-105 min av,Downward Short-Wave Radiation Flux [W/m^2]
121,surface,VBDSF,90-105 min av,Visible Beam Downward Solar Flux [W/m^2]
122,surface,CPOFP,105 min fcst,Percent frozen precipitation [%]
123,surface,PRATE,105 min fcst,Precipitation Rate [kg/m^2/s]
124,surface,APCP,90-105 min ac,Total Precipitation [kg/m^2]
125,surface,WEASD,90-105 min ac,Water Equivalent of Accumulated Snow Depth [kg/m^2]
126,surface,FROZR,90-105 min ac,Frozen Rain [kg/m^2]
127,surface,CSNOW,105 min fcst,Categorical Snow [-]
128,surface,CICEP,105 min fcst,Categorical Ice Pellets [-]
129,surface,CFRZR,105 min fcst,Categorical Freezing Rain [-]
130,surface,CRAIN,105 min fcst,Categorical Rain [-]
130,surface,CRAIN,105 min fcst,Categorical Rain [-]
130,surface,CRAIN,105 min fcst,Categorical Rain [-]
133,cloud ceiling,HGT,105 min fcst,Geopotential Height [gpm]
134,cloud base,HGT,105 min fcst,Geopotential Height [gpm]
135,cloud top,HGT,105 min fcst,Geopotential Height [gpm]
136,top of atmosphere,ULWRF,105 min fcst,Upward Long-Wave Rad. Flux [W/m^2]
137,surface,DSWRF,105 min fcst,Downward Short-Wave Radiation Flux [W/m^2]
138,surface,DLWRF,105 min fcst,Downward Long-Wave Rad. Flux [W/m^2]
139,surface,USWRF,105 min fcst,Upward Short-Wave Radiation Flux [W/m^2]
140,surface,ULWRF,105 min fcst,Upward Long-Wave Rad. Flux [W/m^2]
141,surface,VBDSF,105 min fcst,Visible Beam Downward Solar Flux [W/m^2]
142,surface,VDDSF,105 min fcst,Visible Diffuse Downward Solar Flux [W/m^2]
143,top of atmosphere,USWRF,105 min fcst,Upward Short-Wave Radiation Flux [W/m^2]
144,top of atmosphere,SBT123,105 min fcst,"Simulated Brightness Temperature for GOES 12, Channel 3 [K]"
145,top of atmosphere,SBT124,105 min fcst,"Simulated Brightness Temperature for GOES 12, Channel 4 [K]"
146,top of atmosphere,SBT113,105 min fcst,"Simulated Brightness Temperature for GOES 11, Channel 3 [K]"
147,top of atmosphere,SBT114,105 min fcst,"Simulated Brightness Temperature for GOES 11, Channel 4 [K]"
148,entire atmosphere,REFC,120 min fcst,Composite reflectivity [dB]
149,cloud top,RETOP,120 min fcst,Echo Top [m]
149,cloud top,RETOP,120 min fcst,Echo Top [m]
151,entire atmosphere,VIL,120 min fcst,Vertically-Integrated Liquid Water [kg/m^2]
152,surface,VIS,120 min fcst,Visibility [m]
153,1000 m above ground,REFD,120 min fcst,Reflectivity [dB]
154,4000 m above ground,REFD,120 min fcst,Reflectivity [dB]
155,surface,GUST,120 min fcst,Wind Speed (Gust) [m/s]
156,5000-2000 m above ground,UPHL,120 min fcst,Updraft Helicity [m^2/s^2]
157,80 m above ground,UGRD,120 min fcst,U-Component of Wind [m/s]
158,80 m above ground,VGRD,120 min fcst,V-Component of Wind [m/s]
159,surface,PRES,120 min fcst,Pressure [Pa]
160,surface,HGT,120 min fcst,Geopotential Height [gpm]
161,2 m above ground,TMP,120 min fcst,Temperature [K]
162,2 m above ground,SPFH,120 min fcst,Specific Humidity [kg/kg]
163,2 m above ground,DPT,120 min fcst,Dew Point Temperature [K]
164,10 m above ground,UGRD,120 min fcst,U-Component of Wind [m/s]
165,10 m above ground,VGRD,120 min fcst,V-Component of Wind [m/s]
166,10 m above ground,WIND,115-120 min a,Wind Speed [m/s]
167,10 m above ground,UGRD,115-120 min a,U-Component of Wind [m/s]
168,10 m above ground,VGRD,115-120 min a,V-Component of Wind [m/s]
169,surface,DSWRF,105-120 min a,Downward Short-Wave Radiation Flux [W/m^2]
170,surface,VBDSF,105-120 min a,Visible Beam Downward Solar Flux [W/m^2]
171,surface,CPOFP,120 min fcst,Percent frozen precipitation [%]
172,surface,PRATE,120 min fcst,Precipitation Rate [kg/m^2/s]
173,surface,APCP,105-120 min a,Total Precipitation [kg/m^2]
174,surface,WEASD,105-120 min a,Water Equivalent of Accumulated Snow Depth [kg/m^2]
175,surface,FROZR,105-120 min a,Frozen Rain [kg/m^2]
176,surface,CSNOW,120 min fcst,Categorical Snow [-]
177,surface,CICEP,120 min fcst,Categorical Ice Pellets [-]
178,surface,CFRZR,120 min fcst,Categorical Freezing Rain [-]
179,surface,CRAIN,120 min fcst,Categorical Rain [-]
179,surface,CRAIN,120 min fcst,Categorical Rain [-]
179,surface,CRAIN,120 min fcst,Categorical Rain [-]
182,cloud ceiling,HGT,120 min fcst,Geopotential Height [gpm]
183,cloud base,HGT,120 min fcst,Geopotential Height [gpm]
184,cloud top,HGT,120 min fcst,Geopotential Height [gpm]
185,top of atmosphere,ULWRF,120 min fcst,Upward Long-Wave Rad. Flux [W/m^2]
186,surface,DSWRF,120 min fcst,Downward Short-Wave Radiation Flux [W/m^2]
187,surface,DLWRF,120 min fcst,Downward Long-Wave Rad. Flux [W/m^2]
188,surface,USWRF,120 min fcst,Upward Short-Wave Radiation Flux [W/m^2]
189,surface,ULWRF,120 min fcst,Upward Long-Wave Rad. Flux [W/m^2]
190,surface,VBDSF,120 min fcst,Visible Beam Downward Solar Flux [W/m^2]
191,surface,VDDSF,120 min fcst,Visible Diffuse Downward Solar Flux [W/m^2]
192,top of atmosphere,USWRF,120 min fcst,Upward Short-Wave Radiation Flux [W/m^2]
193,top of atmosphere,SBT123,120 min fcst,"Simulated Brightness Temperature for GOES 12, Channel 3 [K]"
194,top of atmosphere,SBT124,120 min fcst,"Simulated Brightness Temperature for GOES 12, Channel 4 [K]"
195,top of atmosphere,SBT113,120 min fcst,"Simulated Brightness Temperature for GOES 11, Channel 3 [K]"
196,top of atmosphere,SBT114,120 min fcst,"Simulated Brightness Temperature for GOES 11, Channel 4 [K]"
