Number,Level/Layer,Parameter,Forecast Valid,Description
1,entire atmosphere,REFC,75 min fcst,Composite reflectivity [dB]
2,cloud top,RETOP,75 min fcst,Echo Top [m]
2,cloud top,RETOP,75 min fcst,Echo Top [m]
4,entire atmosphere,VIL,75 min fcst,Vertically-Integrated Liquid Water [kg/m^2]
5,surface,VIS,75 min fcst,Visibility [m]
6,1000 m above ground,REFD,75 min fcst,Reflectivity [dB]
7,4000 m above ground,REFD,75 min fcst,Reflectivity [dB]
8,surface,GUST,75 min fcst,Wind Speed (Gust) [m/s]
9,5000-2000 m above ground,UPHL,75 min fcst,Updraft Helicity [m^2/s^2]
10,80 m above ground,UGRD,75 min fcst,U-Component of Wind [m/s]
11,80 m above ground,VGRD,75 min fcst,V-Component of Wind [m/s]
12,surface,PRES,75 min fcst,Pressure [Pa]
13,surface,HGT,75 min fcst,Geopotential Height [gpm]
14,2 m above ground,TMP,75 min fcst,Temperature [K]
15,2 m above ground,SPFH,75 min fcst,Specific Humidity [kg/kg]
16,2 m above ground,DPT,75 min fcst,Dew Point Temperature [K]
17,10 m above ground,UGRD,75 min fcst,U-Component of Wind [m/s]
18,10 m above ground,VGRD,75 min fcst,V-Component of Wind [m/s]
19,10 m above ground,WIND,70-75 min ave,Wind Speed [m/s]
20,10 m above ground,UGRD,70-75 min ave,U-Component of Wind [m/s]
21,10 m above ground,VGRD,70-75 min ave,V-Component of Wind [m/s]
22,surface,DSWRF,60-75 min ave,Downward Short-Wave Radiation Flux [W/m^2]
23,surface,VBDSF,60-75 min ave,Visible Beam Downward Solar Flux [W/m^2]
24,surface,CPOFP,75 min fcst,Percent frozen precipitation [%]
25,surface,PRATE,75 min fcst,Precipitation Rate [kg/m^2/s]
26,surface,APCP,60-75 min acc,Total Precipitation [kg/m^2]
27,surface,WEASD,60-75 min acc,Water Equivalent of Accumulated Snow Depth [kg/m^2]
28,surface,FROZR,60-75 min acc,Frozen Rain [kg/m^2]
29,surface,CSNOW,75 min fcst,Categorical Snow [-]
30,surface,CICEP,75 min fcst,Categorical Ice Pellets [-]
31,surface,CFRZR,75 min fcst,Categorical Freezing Rain [-]
32,surface,CRAIN,75 min fcst,Categorical Rain [-]
32,surface,CRAIN,75 min fcst,Categorical Rain [-]
32,surface,CRAIN,75 min fcst,Categorical Rain [-]
35,cloud ceiling,HGT,75 min fcst,Geopotential Height [gpm]
36,cloud base,HGT,75 min fcst,Geopotential Height [gpm]
37,cloud top,HGT,75 min fcst,Geopotential Height [gpm]
38,top of atmosphere,ULWRF,75 min fcst,Upward Long-Wave Rad. Flux [W/m^2]
39,surface,DSWRF,75 min fcst,Downward Short-Wave Radiation Flux [W/m^2]
40,surface,DLWRF,75 min fcst,Downward Long-Wave Rad. Flux [W/m^2]
41,surface,USWRF,75 min fcst,Upward Short-Wave Radiation Flux [W/m^2]
42,surface,ULWRF,75 min fcst,Upward Long-Wave Rad. Flux [W/m^2]
43,surface,VBDSF,75 min fcst,Visible Beam Downward Solar Flux [W/m^2]
44,surface,VDDSF,75 min fcst,Visible Diffuse Downward Solar Flux [W/m^2]
45,top of atmosphere,USWRF,75 min fcst,Upward Short-Wave Radiation Flux [W/m^2]
46,top of atmosphere,SBT123,75 min fcst,"Simulated Brightness Temperature for GOES 12, Channel 3 [K]"
47,top of atmosphere,SBT124,75 min fcst,"Simulated Brightness Temperature for GOES 12, Channel 4 [K]"
48,top of atmosphere,SBT113,75 min fcst,"Simulated Brightness Temperature for GOES 11, Channel 3 [K]"
49,top of atmosphere,SBT114,75 min fcst,"Simulated Brightness Temperature for GOES 11, Channel 4 [K]"
50,entire atmosphere,REFC,90 min fcst,Composite reflectivity [dB]
51,cloud top,RETOP,90 min fcst,Echo Top [m]
51,cloud top,RETOP,90 min fcst,Echo Top [m]
53,entire atmosphere,VIL,90 min fcst,Vertically-Integrated Liquid Water [kg/m^2]
