Number,Level/Layer,Parameter,Forecast Valid,Description
59,150 mb,RH,2 hour fcst,Relative Humidity [%]
60,150 mb,DPT,2 hour fcst,Dew Point Temperature [K]
61,150 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
62,150 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
63,150 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
64,150 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
65,150 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
66,150 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
67,150 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
68,150 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
69,150 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
70,150 mb,GRLE,2 hour fcst,Graupel [kg/kg]
71,175 mb,HGT,2 hour fcst,Geopotential Height [gpm]
72,175 mb,TMP,2 hour fcst,Temperature [K]
73,175 mb,RH,2 hour fcst,Relative Humidity [%]
74,175 mb,DPT,2 hour fcst,Dew Point Temperature [K]
75,175 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
76,175 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
77,175 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
78,175 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
79,175 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
80,175 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
81,175 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
82,175 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
83,175 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
84,175 mb,GRLE,2 hour fcst,Graupel [kg/kg]
85,200 mb,HGT,2 hour fcst,Geopotential Height [gpm]
86,200 mb,TMP,2 hour fcst,Temperature [K]
87,200 mb,RH,2 hour fcst,Relative Humidity [%]
88,200 mb,DPT,2 hour fcst,Dew Point Temperature [K]
89,200 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
90,200 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
91,200 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
92,200 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
93,200 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
94,200 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
95,200 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
96,200 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
97,200 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
98,200 mb,GRLE,2 hour fcst,Graupel [kg/kg]
99,225 mb,HGT,2 hour fcst,Geopotential Height [gpm]
100,225 mb,TMP,2 hour fcst,Temperature [K]
101,225 mb,RH,2 hour fcst,Relative Humidity [%]
102,225 mb,DPT,2 hour fcst,Dew Point Temperature [K]
103,225 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
104,225 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
105,225 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
106,225 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
107,225 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
108,225 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
109,225 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
110,225 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
111,225 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
112,225 mb,GRLE,2 hour fcst,Graupel [kg/kg]
113,250 mb,HGT,2 hour fcst,Geopotential Height [gpm]
114,250 mb,TMP,2 hour fcst,Temperature [K]
115,250 mb,RH,2 hour fcst,Relative Humidity [%]
116,250 mb,DPT,2 hour fcst,Dew Point Temperature [K]
117,250 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
118,250 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
119,250 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
120,250 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
121,250 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
122,250 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
123,250 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
124,250 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
125,250 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
126,250 mb,GRLE,2 hour fcst,Graupel [kg/kg]
127,275 mb,HGT,2 hour fcst,Geopotential Height [gpm]
128,275 mb,TMP,2 hour fcst,Temperature [K]
129,275 mb,RH,2 hour fcst,Relative Humidity [%]
130,275 mb,DPT,2 hour fcst,Dew Point Temperature [K]
131,275 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
132,275 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
133,275 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
134,275 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
135,275 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
136,275 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
137,275 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
138,275 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
139,275 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
140,275 mb,GRLE,2 hour fcst,Graupel [kg/kg]
141,300 mb,HGT,2 hour fcst,Geopotential Height [gpm]
142,300 mb,TMP,2 hour fcst,Temperature [K]
143,300 mb,RH,2 hour fcst,Relative Humidity [%]
144,300 mb,DPT,2 hour fcst,Dew Point Temperature [K]
145,300 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
146,300 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
147,300 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
148,300 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
149,300 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
150,300 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
151,300 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
152,300 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
153,300 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
154,300 mb,GRLE,2 hour fcst,Graupel [kg/kg]
155,325 mb,HGT,2 hour fcst,Geopotential Height [gpm]
156,325 mb,TMP,2 hour fcst,Temperature [K]
157,325 mb,RH,2 hour fcst,Relative Humidity [%]
158,325 mb,DPT,2 hour fcst,Dew Point Temperature [K]
159,325 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
160,325 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
161,325 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
162,325 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
163,325 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
164,325 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
165,325 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
166,325 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
167,325 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
168,325 mb,GRLE,2 hour fcst,Graupel [kg/kg]
169,350 mb,HGT,2 hour fcst,Geopotential Height [gpm]
170,350 mb,TMP,2 hour fcst,Temperature [K]
171,350 mb,RH,2 hour fcst,Relative Humidity [%]
172,350 mb,DPT,2 hour fcst,Dew Point Temperature [K]
173,350 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
174,350 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
175,350 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
176,350 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
177,350 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
178,350 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
179,350 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
180,350 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
181,350 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
182,350 mb,GRLE,2 hour fcst,Graupel [kg/kg]
183,375 mb,HGT,2 hour fcst,Geopotential Height [gpm]
184,375 mb,TMP,2 hour fcst,Temperature [K]
185,375 mb,RH,2 hour fcst,Relative Humidity [%]
186,375 mb,DPT,2 hour fcst,Dew Point Temperature [K]
187,375 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
188,375 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
189,375 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
190,375 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
191,375 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
192,375 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
193,375 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
194,375 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
195,375 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
196,375 mb,GRLE,2 hour fcst,Graupel [kg/kg]
197,400 mb,HGT,2 hour fcst,Geopotential Height [gpm]
198,400 mb,TMP,2 hour fcst,Temperature [K]
199,400 mb,RH,2 hour fcst,Relative Humidity [%]
200,400 mb,DPT,2 hour fcst,Dew Point Temperature [K]
201,400 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
202,400 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
203,400 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
204,400 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
205,400 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
206,400 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
207,400 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
208,400 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
209,400 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
210,400 mb,GRLE,2 hour fcst,Graupel [kg/kg]
211,425 mb,HGT,2 hour fcst,Geopotential Height [gpm]
212,425 mb,TMP,2 hour fcst,Temperature [K]
213,425 mb,RH,2 hour fcst,Relative Humidity [%]
214,425 mb,DPT,2 hour fcst,Dew Point Temperature [K]
215,425 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
216,425 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
217,425 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
218,425 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
219,425 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
220,425 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
